Hotel ID,Hotel Name,Address,Country,Amenities,DescriptionEN,DescriptionFR
HOTEL0001,Grand Vista Hotel,"243 Main Street, Lyon",n/a,"outdoor pool, yoga studio, restaurant, balcony rooms, room service, airport shuttle, coworking space, free Wi-Fi, complimentary breakfast",n/a,n/a
HOTEL0002,HarborPoint Resort,"130 Maple Lane, Vancouver",n/a,"heated pool, fitness center, wine lounge, balcony rooms, laundry service, concierge, conference center, free Wi-Fi, pet-friendly",n/a,n/a
HOTEL0003,Le Jardin Boutique Hotel,"18 Broadway, Paris",n/a,"indoor pool, yoga studio, café, spa, airport shuttle, room service, conference center, complimentary breakfast, on-site parking",n/a,n/a
HOTEL0004,NorthStar Heritage Inn,"101 Maple Lane, Ottawa",n/a,"indoor pool, fitness center, café, balcony rooms, laundry service, room service, coworking space, pet-friendly, complimentary breakfast",n/a,n/a
HOTEL0005,Aurora Bay Lodge,"85 Harbor Lane, Madrid",n/a,"outdoor pool, gym, rooftop bar, garden terrace, concierge, airport shuttle, meeting rooms, complimentary breakfast, on-site parking",n/a,n/a
HOTEL0006,SilverPeak Retreat,"153 Hillcrest Drive, Milan",n/a,"heated pool, sauna, café, spa, airport shuttle, laundry service, meeting rooms, on-site parking, complimentary breakfast",n/a,n/a
HOTEL0007,The Maplewood Hotel,"272 Queen’s Road, London",n/a,"outdoor pool, sauna, café, balcony rooms, concierge, room service, conference center, on-site parking, free Wi-Fi",n/a,n/a
HOTEL0008,Château Lumière,"30 Main Street, New York",n/a,"indoor pool, gym, wine lounge, garden terrace, laundry service, room service, conference center, complimentary breakfast, on-site parking",n/a,n/a
HOTEL0009,OceanGate Resort,"114 Market Street, Berlin",n/a,"infinity pool, gym, café, garden terrace, concierge, laundry service, business lounge, complimentary breakfast, on-site parking",n/a,n/a
HOTEL0010,Riverbend Lodge,"152 Hillcrest Drive, Nice",n/a,"indoor pool, sauna, restaurant, spa, laundry service, concierge, conference center, complimentary breakfast, free Wi-Fi",n/a,n/a
HOTEL0011,Artisphere Hotel,"299 Oak Avenue, Barcelona",n/a,"heated pool, sauna, rooftop bar, balcony rooms, concierge, laundry service, meeting rooms, complimentary breakfast, on-site parking",n/a,n/a
HOTEL0012,Nova Vista Inn,"152 Park Avenue, Toronto",n/a,"outdoor pool, fitness center, café, balcony rooms, concierge, room service, coworking space, pet-friendly, free Wi-Fi",n/a,n/a
HOTEL0013,Golden Trail Resort,"129 Oak Avenue, Rome",n/a,"outdoor pool, sauna, café, garden terrace, airport shuttle, laundry service, conference center, on-site parking, pet-friendly",n/a,n/a
HOTEL0014,Horizon Bay Lodge,"288 Queen’s Road, Manchester",n/a,"indoor pool, gym, café, garden terrace, laundry service, airport shuttle, conference center, on-site parking, complimentary breakfast",n/a,n/a
HOTEL0015,Starlight Suites,"212 Valley Road, Miami",n/a,"heated pool, gym, restaurant, garden terrace, laundry service, airport shuttle, meeting rooms, on-site parking, free Wi-Fi",n/a,n/a
HOTEL0016,BlueHaven Hotel,"294 Willow Way, Munich",n/a,"indoor pool, gym, wine lounge, garden terrace, airport shuttle, laundry service, meeting rooms, free Wi-Fi, complimentary breakfast",n/a,n/a
HOTEL0017,Cedar Grove Inn,"35 Valley Road, Valencia",n/a,"heated pool, fitness center, rooftop bar, jacuzzi, room service, laundry service, conference center, complimentary breakfast, free Wi-Fi",n/a,n/a
HOTEL0018,Velaria Grand Hotel,"43 Oak Avenue, Naples",n/a,"heated pool, gym, rooftop bar, garden terrace, airport shuttle, laundry service, meeting rooms, pet-friendly, on-site parking",n/a,n/a
HOTEL0019,Cascade View Lodge,"71 Elm Street, Bristol",n/a,"heated pool, sauna, restaurant, garden terrace, laundry service, room service, meeting rooms, pet-friendly, on-site parking",n/a,n/a
HOTEL0020,BelleRive Hotel,"91 Hillcrest Drive, Los Angeles",n/a,"indoor pool, fitness center, rooftop bar, jacuzzi, airport shuttle, concierge, coworking space, pet-friendly, free Wi-Fi",n/a,n/a
HOTEL0021,Emerald Shore Resort,"153 Hillcrest Drive, Hamburg",n/a,"heated pool, fitness center, rooftop bar, garden terrace, room service, laundry service, business lounge, pet-friendly, on-site parking",n/a,n/a
HOTEL0022,Urban Hive Hotel,"259 Main Street, Seville",n/a,"outdoor pool, yoga studio, café, balcony rooms, laundry service, room service, conference center, on-site parking, complimentary breakfast",n/a,n/a
