Hotel ID,Hotel Name,Address,Country,Amenities,DescriptionEN,DescriptionFR
HOTEL0051,The Willow Bay Hotel,"141 Cedar Street, Bordeaux",n/a,"infinity pool, gym, café, jacuzzi, airport shuttle, room service, conference center, pet-friendly, free Wi-Fi",n/a,n/a
HOTEL0052,Panorama Grand,"136 Elm Street, Calgary",n/a,"outdoor pool, gym, rooftop bar, balcony rooms, laundry service, room service, conference center, on-site parking, free Wi-Fi",n/a,n/a
HOTEL0053,Cedarline Boutique Hotel,"241 Harbor Lane, Toulouse",n/a,"heated pool, sauna, restaurant, garden terrace, concierge, room service, meeting rooms, free Wi-Fi, complimentary breakfast",n/a,n/a
HOTEL0054,Aurora Crest Inn,"173 Cedar Street, Montreal",n/a,"infinity pool, sauna, café, spa, room service, laundry service, conference center, on-site parking, pet-friendly",n/a,n/a
HOTEL0055,The Golden Pavilion,"233 Harbor Lane, Marbella",n/a,"indoor pool, sauna, restaurant, jacuzzi, concierge, room service, business lounge, complimentary breakfast, on-site parking",n/a,n/a
HOTEL0056,Ocean Bloom Resort,"10 Valley Road, Turin",n/a,"heated pool, fitness center, wine lounge, jacuzzi, concierge, laundry service, business lounge, complimentary breakfast, free Wi-Fi",n/a,n/a
HOTEL0057,Silver Birch Lodge,"42 River Drive, York",n/a,"heated pool, fitness center, wine lounge, garden terrace, laundry service, room service, business lounge, pet-friendly, free Wi-Fi",n/a,n/a
HOTEL0058,The Whispering Pines,"140 Market Street, Seattle",n/a,"indoor pool, fitness center, wine lounge, jacuzzi, laundry service, concierge, conference center, complimentary breakfast, on-site parking",n/a,n/a
HOTEL0059,Horizon Crown Hotel,"233 Sunset Boulevard, Dortmund",n/a,"heated pool, yoga studio, café, jacuzzi, concierge, airport shuttle, coworking space, free Wi-Fi, on-site parking",n/a,n/a
HOTEL0060,The Grandstone Retreat,"193 Pine Road, Granada",n/a,"indoor pool, fitness center, wine lounge, spa, laundry service, room service, conference center, complimentary breakfast, on-site parking",n/a,n/a
